strategy,symbol,asset_class,period,bars,total_return_pct,cagr_pct,sharpe,sortino,calmar,max_drawdown_pct,max_dd_duration_days,volatility_ann_pct,var_95_pct,total_trades,win_rate,avg_win_pct,avg_loss_pct,profit_factor,expectancy_usd,avg_hold_hours,alpha_vs_spy_pct,info_ratio,commission_usd,cost_drag_pct
ma_cross_20_100_short,ETH-USD,CRYPTO,2021-08-14 to 2026-08-13,1826,106.94,15.67,0.345,5.416,0.131,-119.29,864,2936.13,0.099,24,0.458,35.63,-28.98,1.039,6113.04,1824.0,0.0,0.0,114975.42,11.498
ma_cross_20_100_short,EURUSD=X,FOREX,2021-08-12 to 2026-08-13,1301,-17.78,-3.84,-0.174,-0.157,-0.134,-28.58,1826,14.9,0.0,21,0.524,3.2,-4.61,0.761,-5233.18,2086.9,0.0,0.0,89988.59,8.999
ma_cross_20_100_short,GC=F,ETF,2021-08-12 to 2026-08-12,1257,272.37,30.08,0.483,7.327,3.721,-8.08,1073,98.17,0.004,10,0.5,58.3,-3.3,17.663,274983.13,4380.0,33.55,0.338,41453.53,4.145
ma_cross_10_50,AAPL,EQUITY_US,2021-08-12 to 2026-08-13,1256,31.48,5.62,0.544,0.731,0.533,-10.56,557,11.19,0.0,41,0.488,7.31,-3.29,2.116,9399.28,1068.9,-7.96,-0.386,51534.29,5.153
ma_cross_10_50,MSFT,EQUITY_US,2021-08-12 to 2026-08-13,1256,20.63,3.82,0.383,0.505,0.264,-14.47,599,11.44,0.001,33,0.545,7.46,-4.77,1.876,9496.29,1328.0,-9.67,-0.469,41478.82,4.148
ma_cross_10_50,NVDA,EQUITY_US,2021-08-12 to 2026-08-12,1255,180.67,22.93,0.619,2.248,0.887,-25.85,651,44.51,0.0,41,0.61,20.17,-8.1,3.889,45692.47,1068.3,13.65,0.282,51534.29,5.153
ma_cross_10_50,AMZN,EQUITY_US,2021-08-12 to 2026-08-12,1255,25.67,4.68,0.362,0.372,0.155,-30.23,932,16.07,0.0,37,0.622,6.92,-7.35,1.548,7619.33,1172.8,-8.1,-0.341,46506.56,4.651
ma_cross_10_50,GOOGL,EQUITY_US,2021-08-12 to 2026-08-12,1255,53.59,8.96,0.51,0.977,0.381,-23.52,816,20.33,0.0,42,0.5,9.54,-4.11,2.321,13572.98,1042.9,-3.54,-0.134,52791.23,5.279
ma_cross_10_50,META,EQUITY_US,2021-08-12 to 2026-08-12,1255,61.78,10.1,0.343,0.732,0.223,-45.21,808,58.86,0.001,26,0.423,24.28,-9.31,1.913,24503.0,1684.6,6.25,0.102,32680.28,3.268
ma_cross_10_50,TSLA,EQUITY_US,2021-08-12 to 2026-08-12,1255,33.33,5.92,0.393,0.367,0.216,-27.37,1140,19.29,0.002,46,0.522,9.7,-7.91,1.339,6404.6,942.3,-6.34,-0.245,57818.96,5.782
ma_cross_10_50,JPM,EQUITY_US,2021-08-12 to 2026-08-12,1255,36.59,6.44,0.529,0.834,0.349,-18.44,982,13.37,0.0,37,0.541,7.57,-3.09,2.882,13360.05,1154.6,-6.84,-0.311,46506.56,4.651
ma_cross_10_50,RELIANCE.NS,EQUITY_IN,2021-08-12 to 2026-08-13,1240,9.87,1.9,0.271,0.236,0.148,-12.88,787,8.31,0.002,33,0.515,5.83,-4.38,1.413,4387.41,1328.0,0.0,0.0,52570.12,5.257
